case_id,geometry_id,polarization,wavelength_nm,eta_plus1_ensemble_disagreement,eta_plus1_abs_error
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,445,0.09614258866647053,0.055201313162063184
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,446,0.11948430307232613,0.0578609835551985
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,447,0.11791660083007385,0.04563459126483688
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,448,0.02079197496356469,0.0957240779725655
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,449,0.026514945516658527,0.10234884166610157
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,450,0.042454390299295486,0.08001742500759522
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,451,0.06420039492297888,0.05410029104402533
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,452,0.0934617309462519,0.04383814531096473
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,453,0.13064833627303632,0.022284849026063133
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,454,0.1634363294410135,0.0681582820438552
NP_K6_M2_BATCH1_G01_P,K6X_D200_D205_D215_D220_D225_D230,p,455,0.20926502317871193,0.32119691928204713
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,445,0.12236412456782633,0.06731810068520058
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,446,0.11340793281098155,0.06292030992922053
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,447,0.1212179093478863,0.004574641597783986
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,448,0.08529522387419504,0.07760361067184654
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,449,0.08119268788204641,0.08248964387073558
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,450,0.09050576609330052,0.06484642186665765
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,451,0.10681153723282619,0.03515224758655863
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,452,0.13026968136198205,0.005836818626568152
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,453,0.15903966278457266,0.013189301389644158
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,454,0.18517644883870393,0.043533685931258115
NP_K6_M2_BATCH1_G01_S,K6X_D200_D205_D215_D220_D225_D230,s,455,0.17625365550403704,0.3316666593501513
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,445,0.40765643200975243,0.2662247467846022
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,446,0.40455318757239234,0.2456138076762437
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,447,0.40143440774838307,0.2268840472165768
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,448,0.3995515913600846,0.2195056604026027
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,449,0.39987049327018515,0.17790990236937546
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,450,0.40332759832690335,0.12860158092965362
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,451,0.4060817653957654,0.07234615758872359
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,452,0.391055750209202,0.017758041555603288
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,453,0.41672896174437485,0.006277897000245614
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,454,0.3622474551916324,0.17519139632887626
NP_K6_M2_BATCH1_G02_P,K6X_D100_D140_D145_D155_D225_D230,p,455,0.31257528194507306,0.20284389162047878
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,445,0.36583954724390755,0.10199832299157666
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,446,0.36140487077476574,0.08761294792617566
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,447,0.3584482393853362,0.07011366941076205
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,448,0.3585958296170794,0.045523854274206965
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,449,0.3623673187754564,0.0076946442529028936
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,450,0.3702005226703176,0.05221949936281545
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,451,0.37472595034722994,0.1440835114681301
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,452,0.3442196545191449,0.28450533948774387
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,453,0.33563700370018246,0.3289389889137404
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,454,0.27509006014912607,0.18331362257576234
NP_K6_M2_BATCH1_G02_S,K6X_D100_D140_D145_D155_D225_D230,s,455,0.24559829411235537,0.17185031758704325
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,445,0.9362229693860337,0.16416256080025873
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,446,0.8888539494289902,0.15285732640401242
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,447,0.8065503596266538,0.1218905434917659
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,448,0.9456418397565886,0.17997929985802164
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,449,0.9613059252925568,0.19664784352190462
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,450,0.9568886261514905,0.21174533830822187
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,451,0.9440582794664428,0.2302549338266817
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,452,0.9233574153554919,0.2585678895342232
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,453,0.8985409670605767,0.2551359622928903
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,454,0.8626491520145008,0.23541461384837623
NP_K6_M2_BATCH1_G03_P,K6X_D100_D200_D205_D210_D215_D220,p,455,0.6591072967925216,0.12969010659247265
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,445,0.9148426910974645,0.1368042979081428
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,446,0.8610085813890908,0.13372633804959877
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,447,0.7750326208622262,0.1210792870130983
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,448,0.9438757767933074,0.1248385496951664
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,449,0.9657034939325938,0.15807787799612655
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,450,0.9649832643561721,0.18833702783592568
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,451,0.9539920979175032,0.21627556549966132
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,452,0.9313612198201283,0.24269998349175836
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,453,0.9019734618742088,0.2507676011375916
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,454,0.8584091710015221,0.22670625865397964
NP_K6_M2_BATCH1_G03_S,K6X_D100_D200_D205_D210_D215_D220,s,455,0.6504479023473924,0.13881877070797338
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,445,0.10019489881153713,0.026704162396017125
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,446,0.09374643303060284,0.035104817029787135
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,447,0.08536804980081654,0.04571786983623481
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,448,0.07694555286534024,0.06074801377321088
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,449,0.06763601005158466,0.054560395417879125
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,450,0.06115264446124792,0.04757194939114821
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,451,0.060830240773097365,0.017375719366403926
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,452,0.07292171399613553,0.04695339863193898
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,453,0.09590508852393027,0.11992164048458089
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,454,0.11612281220555504,0.16231752160564136
NP_K6_M2_BATCH1_G04_P,K6X_D100_D110_D115_D220_D225_D230,p,455,0.12292147220744726,0.15675673220035438
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,445,0.04307137051128282,0.10854306677642295
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,446,0.03675552070687817,0.11838557507666686
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,447,0.030193966637736068,0.11580450325925873
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,448,0.02705025375028124,0.11175091926977011
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,449,0.028129818530857442,0.10598240885127377
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,450,0.035165924757517966,0.0924832780590704
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,451,0.046919449320206676,0.0668517469777436
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,452,0.06759539195902094,0.02217456114821537
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,453,0.10072953112951082,0.03055092164261397
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,454,0.13177098232795714,0.060417070777690034
NP_K6_M2_BATCH1_G04_S,K6X_D100_D110_D115_D220_D225_D230,s,455,0.1420473591530403,0.05380826534258219
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,445,0.18076660163223562,0.3396609315534783
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,446,0.16827018611096572,0.3918629636327273
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,447,0.14386885082459594,0.4639642790445391
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,448,0.12300162004188574,0.6434349237919892
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,449,0.10469604637074607,0.4950807213111602
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,450,0.08689770806529885,0.47240131897054116
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,451,0.0690140944749556,0.4734341076389973
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,452,0.05059707451087071,0.4764450031959322
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,453,0.030867790217855892,0.4779489839260118
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,454,0.010081689825995667,0.47748177993274665
NP_K6_M2_BATCH1_G05_P,K6X_D100_D130_D135_D155_D160_D225,p,455,0.013372611130617267,0.4779397128493451
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,445,0.1661325592664485,0.3799478841493914
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,446,0.12278764364335586,0.4292930627771754
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,447,0.0691949322131637,0.467824078487047
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,448,0.03598114973081221,0.4942608420740231
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,449,0.02414655519761487,0.5121686528581014
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,450,0.028641420141769215,0.5255669647267317
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,451,0.03634698556577981,0.536547275302569
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,452,0.04325223426614747,0.5448284422875495
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,453,0.04895763083071397,0.5491239128539761
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,454,0.05468074270328635,0.5473063610484371
NP_K6_M2_BATCH1_G05_S,K6X_D100_D130_D135_D155_D160_D225,s,455,0.06150491457528647,0.5398870660138214
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,445,0.09235753920959767,0.040993820002438286
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,446,0.09211865658736802,0.038902503832898394
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,447,0.09238266625233993,0.036676552304655885
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,448,0.09406233540252652,0.0337293385607324
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,449,0.09586995796538804,0.03105546114031002
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,450,0.09863932066750078,0.028070701454167762
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,451,0.10147596172962131,0.025504812745237943
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,452,0.10485227863877757,0.022890199437733766
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,453,0.10861944006669103,0.020705844970847542
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,454,0.11290026284790548,0.018473200430547093
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,455,0.11814465053888355,0.016650334332645234
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,445,0.0375929729239849,0.04918935574962857
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,446,0.04091463135493683,0.048900759748546185
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,447,0.045757936593756515,0.04878553237140154
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,448,0.0520119890627269,0.0500192180393379
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,449,0.059435415748945224,0.05122394620687187
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,450,0.06824192421530277,0.0529265068987913
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,451,0.07805886276208027,0.0548761038202259
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,452,0.08913713952102183,0.0570230492068447
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,453,0.10125340718451714,0.05871323072861784
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,454,0.11443331006939507,0.06039334102518559
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,455,0.12862333525598096,0.06158951594872267
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,445,0.05049747348178066,0.07350390031406528
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,446,0.05131096935441065,0.08717217305445413
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,447,0.05245461857939357,0.10993565664369931
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,448,0.05390163440588455,0.1905057003312871
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,449,0.05564339042987541,0.46895220574858365
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,450,0.057659767737104635,0.1807547676875797
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,451,0.05992817367826232,0.08153183628056115
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,452,0.06241806765104301,0.05766208404434037
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,453,0.06512679177773592,0.05159414737464896
