candidate_id,perturbation_family,d_nm,theta_deg,psi_deg,H_nm,period_x_nm,period_y_nm,material_index,J1_L_nm,J1_W_nm,J2_L_nm,J2_W_nm,planning_note,J1_x_nm,J1_y_nm,J2_x_nm,J2_y_nm,J1_rotation_deg,J2_rotation_deg,delta_x_nm,delta_y_nm,x_bias_abs_nm,rough_min_clearance_nm,geometry_valid,geometry_note
BW2_J1J2_D194_T90_PSI97_H525,baseline,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,current frozen fabrication-aware CP candidate,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.0,True,rough planning clearance only
BW2_J1J2_D189_T90_PSI97_H525,BW2-A d micro-perturbation,189.0,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,d offset -5 nm,5.786456125971244e-15,94.5,-5.786456125971244e-15,-94.5,-7.0,38.0,-1.1572912251942487e-14,-189.0,1.1572912251942487e-14,148.0,True,rough planning clearance only
BW2_J1J2_D191p5_T90_PSI97_H525,BW2-A d micro-perturbation,191.5,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,d offset -2.5 nm,5.862996550917953e-15,95.75,-5.862996550917953e-15,-95.75,-7.0,38.0,-1.1725993101835906e-14,-191.5,1.1725993101835906e-14,145.5,True,rough planning clearance only
BW2_J1J2_D196p5_T90_PSI97_H525,BW2-A d micro-perturbation,196.5,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,d offset +2.5 nm,6.016077400811373e-15,98.25,-6.016077400811373e-15,-98.25,-7.0,38.0,-1.2032154801622746e-14,-196.5,1.2032154801622746e-14,140.5,True,rough planning clearance only
BW2_J1J2_D199_T90_PSI97_H525,BW2-A d micro-perturbation,199.0,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,d offset +5 nm,6.092617825758082e-15,99.5,-6.092617825758082e-15,-99.5,-7.0,38.0,-1.2185235651516165e-14,-199.0,1.2185235651516165e-14,138.0,True,rough planning clearance only
BW2_J1J2_D194_T88_PSI97_H525,BW2-A theta micro-perturbation,194.0,88.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,theta offset -2 deg,3.3852511801426046,96.94091022085229,-3.3852511801426046,-96.94091022085229,-7.0,38.0,-6.770502360285209,-193.88182044170458,6.770502360285209,143.0,True,rough planning clearance only
BW2_J1J2_D194_T89_PSI97_H525,BW2-A theta micro-perturbation,194.0,89.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,theta offset -1 deg,1.692883424416509,96.98522643016996,-1.692883424416509,-96.98522643016996,-7.0,38.0,-3.385766848833018,-193.97045286033992,3.385766848833018,143.0,True,rough planning clearance only
BW2_J1J2_D194_T91_PSI97_H525,BW2-A theta micro-perturbation,194.0,91.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,theta offset +1 deg,-1.6928834244164972,96.98522643016996,1.6928834244164972,-96.98522643016996,-7.0,38.0,3.3857668488329944,-193.97045286033992,3.3857668488329944,143.0,True,rough planning clearance only
BW2_J1J2_D194_T92_PSI97_H525,BW2-A theta micro-perturbation,194.0,92.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,theta offset +2 deg,-3.3852511801425926,96.94091022085229,3.3852511801425926,-96.94091022085229,-7.0,38.0,6.770502360285185,-193.88182044170458,6.770502360285185,143.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI95_H525,BW2-A psi micro-perturbation,194.0,90.0,95.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,psi offset -2 deg,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-5.0,40.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI96_H525,BW2-A psi micro-perturbation,194.0,90.0,96.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,psi offset -1 deg,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-6.0,39.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI98_H525,BW2-A psi micro-perturbation,194.0,90.0,98.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,psi offset +1 deg,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-8.0,37.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI99_H525,BW2-A psi micro-perturbation,194.0,90.0,99.0,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,psi offset +2 deg,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-9.0,36.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1231x101_J2180x90,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,231,101,180.0,90.0,J1 +1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,142.5,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2180x90,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,229,99,180.0,90.0,J1 -1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.5,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1230x100_J2181x91,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,181,91,J2 +1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,142.5,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1230x100_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,230.0,100.0,179,89,J2 -1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,143.5,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1231x101_J2181x91,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,231,101,181,91,both +1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,142.0,True,rough planning clearance only
BW2_J1J2_D194_T90_PSI97_H525_J1229x99_J2179x89,BW2-B size micro-perturbation,194.0,90.0,97.0,525.0,431.907786,432.0,2.6,229,99,179,89,both -1 nm,5.939536975864663e-15,97.0,-5.939536975864663e-15,-97.0,-7.0,38.0,-1.1879073951729327e-14,-194.0,1.1879073951729327e-14,144.0,True,rough planning clearance only
BW2_J1J2_D195_T90_PSI98_H525,BW2-C right-shifted local candidate,195,90.0,98,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,D195/PSI98 right-weight candidate,5.970153145843347e-15,97.5,-5.970153145843347e-15,-97.5,-8,37,-1.1940306291686694e-14,-195.0,1.1940306291686694e-14,142.0,True,rough planning clearance only
BW2_J1J2_D196_T90_PSI98_H525,BW2-C right-shifted local candidate,196,90.0,98,525.0,431.907786,432.0,2.6,230.0,100.0,180.0,90.0,D196/PSI98 right-weight candidate,6.000769315822031e-15,98.0,-6.000769315822031e-15,-98.0,-8,37,-1.2001538631644062e-14,-196.0,1.2001538631644062e-14,141.0,True,rough planning clearance only
