wavelength_nm,bin_deg,candidate_id,dimer_case_id,fdtd_status,t_xx_amplitude,t_xx_phase_deg,t_yy_leakage_amplitude_or_power,t_yy_amp,t_yy_power,t_xy_cross_leakage,t_yx_cross_leakage,selected_channel_phase_deg,selected_channel_phase_error_deg,nearest_bin_deg,conversion_to_leakage_ratio,Tx,target_conversion,blocked_y_total_leakage,matrix_error,geometry_legal,minimum_clearance_nm,result_csv,source_file,x_result_csv,y_result_csv,notes,target_bin_deg,phase_error_to_target_deg,pass_flag,rescue_score
449,120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL449NM,ok,0.974191,-15.013858,0.277171,0.277171,0.076824,0.022828,0.001457,344.986142,135.013858,0,12.270319,0.949048,0.949048,0.077345,0.285481,true,60.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL449NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL449NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,135.013858,false,4.694440
450,120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL450NM,ok,0.711147,123.736201,0.334736,0.334736,0.112048,0.017990,0.002024,123.736201,3.736201,120,4.500509,0.505731,0.505731,0.112372,0.471386,true,60.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL450NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL450NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL450NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL450NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,3.736201,false,5.281765
451,120,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL451NM,ok,0.932965,18.075289,0.402311,0.402311,0.161854,0.010982,0.001857,18.075289,101.924711,0,5.373816,0.870425,0.870425,0.161975,0.431382,true,60.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\blue10k6_lp_apcd_stage11_2c_h500_dimer_alt_pairs\h500_dimer_alt_patch_plan_stage11_2c.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL451NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL451NM\H500DIMER2C_004_B120_x_pair_swap_G60_O-20_3B2_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,101.924711,false,-0.161225
449,120,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL449NM,ok,0.988495,140.031038,0.264239,0.264239,0.069822,0.000000,0.000000,140.031038,20.031038,120,13.994380,0.977122,0.977122,0.069822,0.267314,true,24.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL449NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL449NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,20.031038,true,15.765757
450,120,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL450NM,ok,0.987000,143.791488,0.247944,0.247944,0.061476,0.003998,0.018312,143.791488,23.791488,120,15.842087,0.974168,0.974168,0.061492,0.251926,true,24.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL450NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL450NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL450NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL450NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,23.791488,true,17.331588
451,120,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL451NM,ok,0.946756,135.801309,0.223578,0.223578,0.049987,0.004916,0.054678,135.801309,15.801309,120,17.922802,0.896346,0.896346,0.050012,0.243169,true,24.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL451NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL451NM\H500DIMER2H_007_B120_y_pair_noswap_G24_O-30_3B2_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,15.801309,true,19.757743
449,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM,ok,0.984871,140.006844,0.219348,0.219348,0.048114,0.000000,0.000000,140.006844,20.006844,120,20.160105,0.969970,0.969970,0.048113,0.222716,true,22.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,20.006844,true,21.833900
450,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM,ok,0.984559,142.959239,0.192744,0.192744,0.037150,0.003881,0.019155,142.959239,22.959239,120,26.082261,0.969356,0.969356,0.037165,0.196770,true,22.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL450NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,22.959239,true,21.647145
451,120,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM,ok,0.951907,135.018127,0.168350,0.168350,0.028342,0.003410,0.050977,135.018127,15.018127,120,31.958224,0.906126,0.906126,0.028353,0.184820,true,22.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM\H500DIMER2H_003_B120_y_pair_noswap_G22_O-30_3B2_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,15.018127,true,22.053414
449,120,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL449NM,ok,0.979389,145.308988,0.167383,0.167383,0.028017,0.000000,0.000000,145.308988,25.308988,120,34.236290,0.959202,0.959202,0.028017,0.170905,true,20.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL449NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL449NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,25.308988,false,21.470279
450,120,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL450NM,ok,0.979055,142.208118,0.145409,0.145409,0.021144,0.002548,0.020005,142.208118,22.208118,120,45.321112,0.958549,0.958549,0.021150,0.149940,true,20.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL450NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL450NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL450NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL450NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,22.208118,true,21.757667
451,120,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL451NM,ok,0.959333,134.779698,0.115122,0.115122,0.013253,0.002926,0.043518,134.779698,14.779698,120,69.396683,0.920320,0.920320,0.013262,0.128328,true,20.000000,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage11_2h_h500_120_y_pair_micro_rescue\h500_120_y_pair_micro_rescue_plan_stage11_2h.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL451NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL451NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL451NM\H500DIMER2H_001_B120_y_pair_noswap_G20_O-30_3B2_WL451NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,120,14.779698,true,22.242248
449,240,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL449NM,ok,0.953629,-155.736993,0.284042,0.284042,0.080680,0.000421,0.001991,204.263007,35.736993,180,11.271773,0.909409,0.909409,0.080680,0.297861,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL449NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL449NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL449NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL449NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,240,35.736993,false,11.454728
450,240,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL450NM,ok,0.858808,-127.365413,0.309941,0.309941,0.096063,0.000671,0.001248,232.634587,7.365413,240,7.677704,0.737551,0.737551,0.096064,0.360902,true,,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_lp_h500_spectral_rescue_candidates.csv,D:\project\blue_apcd_microled_metasurface\outputs\stage12_1_h500_lp_k6_forward_layout\stage12_1_k6_forward_layout_plan.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL450NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL450NM_x_summary.csv,D:\project\blue_apcd_microled_metasurface\reports\stage11_3b2_fdtd_tmp\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL450NM\H500DIMER2F_026_B240_x_pair_swap_G90_O-28_3B2_WL450NM_y_summary.csv,Stage11-2A H500 dimer validation; component-normalized center-field Jones estimate,240,7.365413,true,9.316871
