case_id,group_id,height_nm,wavelength_nm,phase_bin_deg,candidate_id,target_Tx,y_leakage,conversion_to_leakage_ratio,selected_phase_deg,phase_error_deg,matrix_error,pass_level,result_csv,status
S11_4A6_H600_B300_PULL001_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,0.775726,0.225725,3.436597,81.431182,141.431182,0.539458,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL451\S11_4A6_H600_B300_PULL001_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL451\S11_4A6_H600_B300_PULL001_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL001_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,0.910498,0.050876,17.896315,60.849280,120.849280,0.236421,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL452\S11_4A6_H600_B300_PULL001_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL452\S11_4A6_H600_B300_PULL001_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL001_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,0.977418,0.000197,4960.092834,47.018918,107.018918,0.014623,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL453\S11_4A6_H600_B300_PULL001_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL001_WL453\S11_4A6_H600_B300_PULL001_WL453_y_summary.csv,ok
S11_4A6_H600_B300_PULL002_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,0.752180,0.066690,11.278722,84.596581,144.596581,0.297811,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL451\S11_4A6_H600_B300_PULL002_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL451\S11_4A6_H600_B300_PULL002_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL002_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,0.917411,0.048135,19.059214,64.253043,124.253043,0.229100,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL452\S11_4A6_H600_B300_PULL002_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL452\S11_4A6_H600_B300_PULL002_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL002_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,0.967025,0.000206,4701.064069,49.414944,109.414944,0.015014,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL453\S11_4A6_H600_B300_PULL002_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL002_WL453\S11_4A6_H600_B300_PULL002_WL453_y_summary.csv,ok
S11_4A6_H600_B300_PULL003_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,0.888379,0.313510,2.833655,69.214158,129.214158,0.594069,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL451\S11_4A6_H600_B300_PULL003_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL451\S11_4A6_H600_B300_PULL003_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL003_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,0.963272,0.063008,15.288146,53.374611,113.374611,0.255779,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL452\S11_4A6_H600_B300_PULL003_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL452\S11_4A6_H600_B300_PULL003_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL003_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,0.988622,0.000959,1031.191778,40.094942,100.094942,0.031275,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL453\S11_4A6_H600_B300_PULL003_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL003_WL453\S11_4A6_H600_B300_PULL003_WL453_y_summary.csv,ok
S11_4A6_H600_B300_PULL004_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,0.752968,0.094769,7.945334,84.034639,144.034639,0.354796,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL451\S11_4A6_H600_B300_PULL004_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL451\S11_4A6_H600_B300_PULL004_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL004_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,0.914223,0.049185,18.587357,64.245198,124.245198,0.231976,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL452\S11_4A6_H600_B300_PULL004_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL452\S11_4A6_H600_B300_PULL004_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL004_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,0.965624,0.000045,21326.621564,48.583340,108.583340,0.007338,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL453\S11_4A6_H600_B300_PULL004_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL004_WL453\S11_4A6_H600_B300_PULL004_WL453_y_summary.csv,ok
S11_4A6_H600_B300_PULL005_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,1.068478,0.116796,9.148207,39.860401,99.860401,0.330634,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL451\S11_4A6_H600_B300_PULL005_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL451\S11_4A6_H600_B300_PULL005_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL005_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,0.956956,0.039418,24.277230,34.623998,94.623998,0.202969,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL452\S11_4A6_H600_B300_PULL005_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL452\S11_4A6_H600_B300_PULL005_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL005_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,1.019091,0.000004,265880.348910,22.239089,82.239089,0.002621,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL453\S11_4A6_H600_B300_PULL005_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL005_WL453\S11_4A6_H600_B300_PULL005_WL453_y_summary.csv,ok
S11_4A6_H600_B300_PULL006_WL451,S11_4A2_H600_B300_PHASE_PULL,600,451,300,H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,1.050673,0.136860,7.677013,32.575534,92.575534,0.360924,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL451\S11_4A6_H600_B300_PULL006_WL451_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL451\S11_4A6_H600_B300_PULL006_WL451_y_summary.csv,ok
S11_4A6_H600_B300_PULL006_WL452,S11_4A2_H600_B300_PHASE_PULL,600,452,300,H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,0.952918,0.047989,19.856854,18.861250,78.861250,0.224415,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL452\S11_4A6_H600_B300_PULL006_WL452_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL452\S11_4A6_H600_B300_PULL006_WL452_y_summary.csv,ok
S11_4A6_H600_B300_PULL006_WL453,S11_4A2_H600_B300_PHASE_PULL,600,453,300,H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,1.014645,0.000181,5603.508832,16.387397,76.387397,0.013430,fail,D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL453\S11_4A6_H600_B300_PULL006_WL453_x_summary.csv;D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_4a6_fdtd_tmp\S11_4A6_H600_B300_PULL006_WL453\S11_4A6_H600_B300_PULL006_WL453_y_summary.csv,ok
